County,Name,Address,Phone,Hours,,,,,,,,,,,,,,,,,,,,,,,,
Hunterdon,The Clothes Closet,"Flemington Assembly of God 434 Route 202 North, Flemington, NJ 088822",908-782-5232,"first Saturday of every month from 9:00am - noon",,,,,,,,,,,,,,,,,,,,,,,,
Hunterdon,Open Cupboard Thrift Shop,"37 Old Highway 22, Clinton, NJ 08809",908-730-7320,"Tuesday, Wednesday, Friday 9:30am - 7:00pm; Thursday, Saturday 9:30am - 1:00pm",,,,,,,,,,,,,,,,,,,,,,,,
Hunterdon,Top o’the Barn Thrift Shop,"Califon United Methodist Church 15 River Road , Califon, NJ 07830",908-832-7018,"Saturday 10:00am - 2:00pm *Half priced sales are the first full week of the month",,,,,,,,,,,,,,,,,,,,,,,,
Hunterdon,North Hunterdon Thrift Shop,"51 Co Rd 635, Hampton, NJ 08827, Hampton, NJ 08827",(908) 735-0177,"Monday 8:30am - 12:00pm, Wednesday 8:30am -12:00pm, 3:00-6:00pm, Saturday 8:30am - 2:00pm",,,,,,,,,,,,,,,,,,,,,,,,
Hunterdon,Yesterday's Treasures: A Boutique Thrift Shop,"215 NJ-31, Flemington, NJ 08822",(908) 237-6097,"Tuesday, Thursday, Saturday 1:00pm - 5:00pm",,,,,,,,,,,,,,,,,,,,,,,,
Hunterdon,Salvation Army,"40 E Main St, Flemington, NJ 08822",(908) 237-9008,"Tuesday - Thursday 9:30am - 3:00pm, Sunday 9:30am - 1:00pm",,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,Plato's Closet,"775 US-1, Edison, NJ, Edison, NJ 08817",(732) 543-1458,"Monday - Saturday 10:00am - 8:30pm and Sunday 11:00am - 6:00pm",,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,Tower Thrift Shop,"19 S 2nd Ave, Highland Park, NJ, Highland Park, NJ 08904",(732) 249-7349,"Monday - Friday 9:00am - 12:00pm, Sunday 12:00pm - 2:00pm",,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,AC Vintage Clothing,"1007 Livingston Ave Suite 4, North Brunswick Township, NJ, North Brunswick, NJ 08902",(609) 524-5628,"Monday - Friday 12:00am - 8:00pm, Saturday 10:00am - 8:00pm, Sunday 10:00am - 7:00pm",,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,Goodwill NYNJ Store,"415 NJ-18, East Brunswick, NJ, East Brunswick 08816",(732) 651-1091,"Monday - Sunday 10:00am - 6:00pm",,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,Somewhere in Time,"233 Raritan Ave, Highland Park, NJ, Highland Park, NJ 08904",(732) 247-3636,"Tuesday, Thursday - Saturday 12:30pm - 5:00 pm",,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,MyUnique Thrift,"698 Oak Tree Ave #15, South Plainfield, NJ, South Plainfield 07080",(908) 822-1600,"Monday - Saturday 10:00am - 8:00pm, Sunday 11:00am - 5:00pm",,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,Gleaners Thrift Shop,"5 Bartholdi Ave, Butler, NJ 07405",973) 838-2026,"Monday 7:00pm - 9:00pm, Tuesday, Thursday, Saturday 10:00am- 1:00pm",,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,Cathedral International,"272 Madison Ave, Perth Amboy, NJ 08861",(732) 826-0447,"Sunday 6:30–8AM, 8:30–10:30AM, 11AM–1:30AM",,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,Greendrop,"359 Amboy Ave, Metuchen, NJ 08840",(888) 944-3767,"Monday - Sunday 10:00am - 5:00pm",,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,Salvation Army,"287 Handy St, New Brunswick, NJ 08901",(732) 545-1477,"Monday - Friday 9:00am - 4:00 pm",,,,,,,,,,,,,,,,,,,,,,,,
Somerset,"Fish, Inc. Dunnellen Area","East Easy Street, Bldg. 9, Bound Brook, NJ 08805",732-356-0081,"First time clients must call the hotline for screening and appointment",,,,,,,,,,,,,,,,,,,,,,,,
Somerset,Second Chance Thrift Shop,"The Friends of Matheny 4 Church Street , Gladstone, NJ 07934",908-234-2016,"Monday 10:00am - 5:00pm; Wednesday, Friday 10:00am - 3:00pm; Saturday 10:00am - 2:00pm",,,,,,,,,,,,,,,,,,,,,,,,
Somerset,From the Heart Thrift Shop,"St. John’s Episcopal Church 158 West High Street , Somerville, NJ 08876-0705",908-722-1250,"first Thursday of every month (except July & August) from 11:00am - 6:30pm",,,,,,,,,,,,,,,,,,,,,,,,
Somerset,A's Attic Thrift Store,"389 Somerset St, Somerset, NJ , Somerset , NJ 08873",732-207-8659,"Monday - Saturday 11:00am - 8:00pm and Sunday 11:00am - 6:00pm",,,,,,,,,,,,,,,,,,,,,,,,
Somerset,Max & Mia's,"32 Main St, South Bound Brook, NJ 08880, South Bound Brook 08880",(908) 336-2893,"Monday 11:00am - 5:00pm, Tuesday 10:00am - 5:00pm, Wednesday 11:00am - 5:00pm, Thursday 12:00pm - 7:00pm, Friday 12:00pm - 6:00pm, Saturday 11:00am - 5:00pm, Sunday 12:00pm - 4:00pm",,,,,,,,,,,,,,,,,,,,,,,,
Somerset,Goodwill NYNJ Store & Donation Center,"509 W Union Ave, Bound Brook, NJ 08805, Bound Brook, NJ 08880",(732) 469-2815,"Monday - Sunday 10:00am - 6:00pm",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
