City,Name,Contact,Phone Numbers,Address,Hours of Operation,,,,,,,,,,,,,,,,,,,
Avenel,First Presbyterian Church of Avenel,Carolyn and Jake Stockl,732-634-1631,"621 East Woodbridge Ave, Avenel, NJ 07001",Last Tuesday of the month 10:00 a.m. - 11:30 a.m.,,,,,,,,,,,,,,,,,,,
Carteret,Carteret Calvary Baptist Church – Reflection of God the Way Ministry,Diahann Thomas-Spencer,732-541-9169 (Office) / 732-912-6007 (Help Line),"38 McKinley Avenue, Carteret, NJ 07008","Last Saturday of the month, 11:00 a.m. – 1:00 p.m.",,,,,,,,,,,,,,,,,,,
Carteret,"St. Joseph’s Parish, St. Vincent DePaul Food Pantry",Barbara McHale,732-541-8946,"55 High Street, Carteret, NJ 07008","Every 3rd Saturday, 8:30 a.m. – 10:30 a.m.",,,,,,,,,,,,,,,,,,,
Cranbury,First Presbyterian Church of Cranbury - Skeet’s Pantry,Carol Kientz (Church Office),609-426-0690,"22 South Main Street, Cranbury, NJ 08512","Every 3rd Friday, 8:00 a.m. – 10:00 a.m. (Doors open 7:30-8:00 a.m.)",,,,,,,,,,,,,,,,,,,
Dunellen,Beginning World Changers,Frank Cunningham,908-463-8005,"329 Prospect Avenue, Dunellen, NJ 08812","Saturday (twice a month), 9:00 a.m. – 1:00 p.m.",,,,,,,,,,,,,,,,,,,
Dunellen,Living Hope Outreach Center,Pastor Roy Carryl,732-424-7363,"201 Whittier Avenue, Dunellen, NJ 08812","Tuesday (twice a month), 10:00 a.m.",,,,,,,,,,,,,,,,,,,
East Brunswick,Aldersgate Outreach Community Center,Diane Hutchins,732-254-7361 Option 2,"562 Ryders Lane, East Brunswick, NJ 08816","Sunday, Tuesday & Friday, 1:00 p.m. – 3:00 p.m.",,,,,,,,,,,,,,,,,,,
East Brunswick,St. Mary & St. Stephen Coptic Church,"Nermeen Gobran, Fr. Stefanos Habib","917-436-8603, 732-857-0188","12 Gates Avenue, East Brunswick, NJ 08816","Saturday, 6:00 p.m. – 7:00 p.m.",,,,,,,,,,,,,,,,,,,
Edison,Community Presbyterian Church,Church Secretary,732-287-1666,"75 Glenville Road, Edison, NJ 08817","Tuesday & Thursday, 9:00 a.m. – 11:00 a.m. (drive through)",,,,,,,,,,,,,,,,,,,
Edison,Edison Housing Authority,Raquel Landero,908-561-2525,"14 Reverend Samuel Carpenter Blvd, Edison, NJ 08820","Every third Thursday, 9:30 a.m. (seniors) / 11:00 a.m. – 1:00 p.m.",,,,,,,,,,,,,,,,,,,
Edison,"Guardian Angels Church, St. Vincent De Paul",Food Pantry,732-572-0977,"37 Market Street, Edison, NJ 08817","Every other Wednesday, 9:30 a.m. – 11:30 a.m.",,,,,,,,,,,,,,,,,,,
Edison,Hands of Hope at St. James Episcopal Church,Jackie Goedesky,732-236-3330,"2136 Woodbridge Avenue, Edison, NJ 08818","1st & 3rd Saturday, 11:00 a.m. – 1:30 p.m.",,,,,,,,,,,,,,,,,,,
Edison,New Beginnings Church of the Nazarene,Joan Naraine,732-985-7097,"80 Jefferson Blvd., Edison, NJ 08817","4th Saturday, 1:00 p.m. – 3:00 p.m.",,,,,,,,,,,,,,,,,,,
Edison,St. Paul's Evangelical Lutheran Church,Kathy (Church Office),732-287-0888,"445 Old Post Road, Edison, NJ 08817","Wednesday & Thursday, 10:00 a.m. – 12:00 p.m.",,,,,,,,,,,,,,,,,,,
Helmetta,New Life Food Pantry,Kristen Tabert,732-521-0169,"St. George Church, 56 Main Street, Helmetta, NJ 08828",Tuesdays 10:00 a.m. – 12:00 p.m. / Thursdays 12:00 p.m. – 2:00 p.m.,,,,,,,,,,,,,,,,,,,
Highland Park,Highland Park Community Food Pantry,Nicole Huff / Janice Ballou,732-819-0052 (Nicole) / 908-410-7618 (Janice),"Highland Park Community Center, 220 South 6th Avenue, Highland Park, NJ 08904","2nd & 4th Thursday, 9:00 a.m. – 10:45 a.m. (or later) / Saturdays following 2nd & 4th Thursday, 9:30 a.m. – 10:30 a.m.",,,,,,,,,,,,,,,,,,,
Highland Park,Highland Park Gives a Hoot,Monica Jackson / Michael Buchman,732-819-3786 (Monica) / 732-245-9433 (Michael),"Teen Center, 600 Benner Street, Highland Park, NJ 08904","Tuesdays, 10:00 a.m. – 10:30 p.m.",,,,,,,,,,,,,,,,,,,
Iselin,First Presbyterian Church of Iselin,Marion Feliks or Margarita Estrada,732-283-1188,"1295 Oaktree Road, Iselin, NJ 08830",Call for appointment 1st Wednesday 10:00 a.m. - 1:00 p.m.,,,,,,,,,,,,,,,,,,,
