City,Name,Contact,Phone Numbers,Hours of Operation,Description,
Avenel,First Presbyterian Church of Avenel,Carolyn and Jake Stockl,732-634-1631,"621 East Woodbridge Ave, Avenel, NJ 07001",Last Tuesday of the month 10:00 a.m. - 11:30 a.m.,
Carteret,Carteret Calvary Baptist Church – Reflection of God the Way Ministry,Diahann Thomas-Spencer,732-541-9169 (Office) / 732-912-6007 (Help Line),"38 McKinley Avenue, Carteret, NJ 07008","Last Saturday of the month, 11:00 a.m. – 1:00 p.m.",Emergency food assistance.
Carteret,"St. Joseph’s Parish, St. Vincent DePaul Food Pantry",Barbara McHale,732-541-8946,"55 High Street, Carteret, NJ 07008","Every 3rd Saturday, 8:30 a.m. – 10:30 a.m.","Nonperishable, fresh, and frozen food items. Proof of residency required."
Cranbury,First Presbyterian Church of Cranbury - Skeet’s Pantry,Carol Kientz (Church Office),609-426-0690,"22 South Main Street, Cranbury, NJ 08512","Every 3rd Friday, 8:00 a.m. – 10:00 a.m. (Doors open 7:30-8:00 a.m.)",Nonperishable and some perishable items for any county resident.
Dunellen,Beginning World Changers,Frank Cunningham,908-463-8005,"329 Prospect Avenue, Dunellen, NJ 08812","Saturday (twice a month), 9:00 a.m. – 1:00 p.m.","Food, clothing, and hot meals for those 18+; once a month per family."
Dunellen,Living Hope Outreach Center,Pastor Roy Carryl,732-424-7363,"201 Whittier Avenue, Dunellen, NJ 08812","Tuesday (twice a month), 10:00 a.m.",Food and necessities available twice a month.
East Brunswick,Aldersgate Outreach Community Center,Diane Hutchins,732-254-7361 Option 2,"562 Ryders Lane, East Brunswick, NJ 08816","Sunday, Tuesday & Friday, 1:00 p.m. – 3:00 p.m.",Food pantry and thrift shop. Must be a resident of Middlesex County. Referral recommended.
East Brunswick,St. Mary & St. Stephen Coptic Church,"Nermeen Gobran, Fr. Stefanos Habib","917-436-8603, 732-857-0188","12 Gates Avenue, East Brunswick, NJ 08816","Saturday, 6:00 p.m. – 7:00 p.m.",Food assistance twice a month. Home delivery available Wednesdays. Clothing & financial assistance available.
Edison,Community Presbyterian Church,Church Secretary,732-287-1666,"75 Glenville Road, Edison, NJ 08817","Tuesday & Thursday, 9:00 a.m. – 11:00 a.m. (drive through)",Three-day supply of food for Edison residents. Proof of residence required.
Edison,Edison Housing Authority,Raquel Landero,908-561-2525,"14 Reverend Samuel Carpenter Blvd, Edison, NJ 08820","Every third Thursday, 9:30 a.m. (seniors) / 11:00 a.m. – 1:00 p.m.",Food pantry for Edison residents. Proof of residency & low/moderate income required. Face masks required.
Edison,"Guardian Angels Church, St. Vincent De Paul",Food Pantry,732-572-0977,"37 Market Street, Edison, NJ 08817","Every other Wednesday, 9:30 a.m. – 11:30 a.m.",Food pantry services during designated hours.
Edison,Hands of Hope at St. James Episcopal Church,Jackie Goedesky,732-236-3330,"2136 Woodbridge Avenue, Edison, NJ 08818","1st & 3rd Saturday, 11:00 a.m. – 1:30 p.m.",Soup kitchen and food pantry. Middlesex County residents. Intake application required.
Edison,New Beginnings Church of the Nazarene,Joan Naraine,732-985-7097,"80 Jefferson Blvd., Edison, NJ 08817","4th Saturday, 1:00 p.m. – 3:00 p.m.",Nonperishable food for Middlesex County residents. ID required.
Edison,St. Paul's Evangelical Lutheran Church,Kathy (Church Office),732-287-0888,"445 Old Post Road, Edison, NJ 08817","Wednesday & Thursday, 10:00 a.m. – 12:00 p.m.",Produce and non-perishable items available. Emergency canned food.
Helmetta,New Life Food Pantry,Kristen Tabert,732-521-0169,"St. George Church, 56 Main Street, Helmetta, NJ 08828",Tuesdays 10:00 a.m. – 12:00 p.m. / Thursdays 12:00 p.m. – 2:00 p.m.,"Client-choice model, by appointment only. 10 reserved spots per hour."
Highland Park,Highland Park Community Food Pantry,Nicole Huff / Janice Ballou,732-819-0052 (Nicole) / 908-410-7618 (Janice),"Highland Park Community Center, 220 South 6th Avenue, Highland Park, NJ 08904","2nd & 4th Thursday, 9:00 a.m. – 10:45 a.m. (or later) / Saturdays following 2nd & 4th Thursday, 9:30 a.m. – 10:30 a.m.","Food distribution, masks required. If in emergency, call 732-819-0052 ext. 3115."
Highland Park,Highland Park Gives a Hoot,Monica Jackson / Michael Buchman,732-819-3786 (Monica) / 732-245-9433 (Michael),"Teen Center, 600 Benner Street, Highland Park, NJ 08904","Tuesdays, 10:00 a.m. – 10:30 p.m.",Nonperishable groceries for teens and walk-ins.
Iselin,First Presbyterian Church of Iselin,Marion Feliks or Margarita Estrada,732-283-1188,"1295 Oaktree Road, Iselin, NJ 08830",Call for appointment 1st Wednesday 10:00 a.m. - 1:00 p.m.,
Jamesburg,Calvary Chapel Crossfields,Fran Napoli,732-521-0382 (Office) / 609-664-2973 (Fran),"15 Half Acre Rd., Jamesburg, NJ 08831","Friday, 6:00 p.m. – 8:00 p.m.",Food and clothing. Client intake form required.
Jamesburg,Presbyterian Church of Jamesburg – Deacon’s Food Cupboard,Church Office,732-521-1711,"175 Gatzmer Avenue, Jamesburg, NJ 08831",3rd Saturday by appointment. Open every Saturday for drive-thru 9 a.m.,"Proof of residency in Jamesburg, Helmetta, or Monroe required. Application waived at present."
"Laurence Harbor, NJ",St. Lawrence Church Food Pantry,Joan Langan,732-583-9361,109 Laurence Parkway,"Saturday, 8:30 a.m. - 10:00 a.m.","Emergency food for anyone in need. Holiday baskets prepared for Christmas, Easter, and Thanksgiving."
Metuchen,First Presbyterian Church of Metuchen,Sarah Teti,732-491-2300 (Office) / 732-491-2325 (Food Pantry),"270 Woodbridge Avenue, Metuchen, NJ 08840","Wednesday & Thursday, 9:15 a.m. - 12:00 p.m.",Drive-up food pantry for Edison & Metuchen residents; emergency food by phone request; limited to once a month. No perishable items accepted.
Metuchen,St. Francis Cathedral Social Concerns,N/A,732-548-0100 ext. 225,"45 Library Place, Metuchen, NJ 08840","Monday - Thursday, 9:30 a.m. - 11:30 a.m.",Emergency food distribution available.
Middlesex,First Bilingual SDA Church Food Pantry,Stacy Barnes,732-629-8065,"111 Howard Ave, Middlesex, NJ 08846","Thursday, 12:00 p.m. - 2:00 p.m. (by appointment only)","Emergency food, available based on availability; curbside pickup."
Milltown,"Jewish Family Services of Middlesex County, Milltown",Intake Worker,732-777-1940,"32 Ford Avenue, 2nd Floor, Milltown, NJ 08850",By appointment,"Offers food (non-perishable), counseling, and other services; proof of name, address, and income required."
Monroe,"Jewish Family Services of Middlesex County, Monroe",N/A,609-395-7979,"1600 Perrineville Road, Suite 52, Monroe Twp., NJ 08831",By appointment,"Non-perishable food, Kosher Meals on Wheels, and other services available. Proof of residency and income required."
Monroe,Monroe Township Office of Senior Services,Karen Theer or Claire Kelly,609-448-7140,"12 Halsey Reed Road, Monroe Twp., NJ 08831","1st Wednesday of the month, 8:30 a.m. - 11:30 a.m. (by appointment)","Non-perishable food distribution, emergency calls from 8:30 a.m. to 4:30 p.m."
New Brunswick,Abundant Life Family Worship Church,Lisa Griffis,732-937-6795,"259 George Street, New Brunswick, NJ 08901","One food distribution event per month (e.g., June 27th at 12 noon)",Community food distribution for Middlesex County residents.
New Brunswick,Bayard Street Presbyterian Church,Pastor Joseph Bodnar,732-247-0384 or 732-672-3793,"107 Bayard Street, PO Box 1207, New Brunswick, NJ 08903","Last Saturday of the month, 12:00 p.m. - 2:00 p.m.","Non-perishable food, toiletries, and clothing available."
New Brunswick,Central Jersey Diaper Bank/Anshe Emeth Community Development Corporation,Diaper Hotline,732-296-9922,N/A,End of the month (by appointment for home delivery or open distribution),Diapers delivered to referred clients; open distributions available.
New Brunswick,Christ Church New Brunswick Food Pantry,Church Office,732-545-6262 or 732-543-3065,"5 Paterson Street, New Brunswick, NJ 08901",2nd & 3rd Wednesdays of the month: 6:00 p.m. – 7:30 p.m.; Last 2 Fridays: 9:00 a.m. – 10:30 a.m.; Last 2 Saturdays: 10:30 a.m. – 12:00 p.m.,"Emergency food distribution, subject to availability."
New Brunswick,"Ebenezer Baptist Church, Feed My Sheep Ministry, Soup Kitchen and Pantry",Victor Hoagland or Louie Rolon,732-247-2459,"126 Lee Avenue, New Brunswick, NJ 08901",Tuesday 11:00 a.m. – 1:00 p.m. (Soup Kitchen); Thursday & Friday 11:00 a.m. – 2:00 p.m. (home deliveries),"Hot meals, food distribution, and emergency food services."
New Brunswick,Elijah's Promise,Curtis McNair,732-545-9002 ext. 117,"18 Neilson Street, New Brunswick, NJ 08901",Monday – Friday: 11:00 a.m. - 7:00 p.m.; Saturday – Sunday: 12:00 p.m. - 1:30 p.m.,"Prepared meals, health services, educational services, and ""Meals to Go"" program."
New Brunswick,Five Loaves Food Pantry Store at Second Reformed Church of New Brunswick,Catherine Verduci,732-545-1019,"100 College Avenue, New Brunswick, NJ 08901","Regular Hours (Sept. - April): Mon – Fri 10:00 a.m. – 2:00 p.m.; Mon & Wed 5:00 p.m. – 8:00 p.m.; Summer Hours: Mon, Tues, Wed 10:00 a.m. – 2:00 p.m.",Emergency food available; client choice food distribution (not prepackaged).
New Brunswick,Greater Worship Kingdom Church,Bishop Otis Blount,868-262-6989,"178 Jones Ave, New Brunswick, NJ 08901","Sunday, 12:30 p.m. – 2:30 p.m.",Emergency food for Middlesex County residents.
New Brunswick,New Brunswick Seventh Day Adventist Church,Oneka Edwards,732-745-4858 or for emergencies 732-474-8801,"339 Livingston Avenue, New Brunswick, NJ 08901","Sunday, 12:00 p.m. – 2:00 p.m.","Emergency food, counseling, and other services for New Brunswick residents."
"New Brunswick, NJ",Salvation Army Family & Community Emergency Center,Yadira Zavaleta,732-545-1477 ext. 112,287 Handy Street P.O. Box 5724,Appointment required. Call ahead.,"Food pantry. Photo ID, birth certificate for all household members, and proof of address (lease/rental letter + 1 bill) required. Assistance once a month (excluding holiday assistance). Must be a resident of New Brunswick, East Brunswick, North Brunswick, Highland Park, or Milltown. Home delivery available for seniors & families due to COVID-19."
"New Brunswick, NJ",Sharon Baptist Church,Edmund DeVeaux,201-478-9446 (Cell) or 732-846-0669 (Church),25 Howard Street,"Every Wednesday, 12:00 p.m. - 2:00 p.m.","First come, first serve until supplies or time expire."
"New Brunswick, NJ",St. Alban’s Church Food Pantry,Enid Atkins,732-247-0808,148 Lee Avenue,"Wednesday, 7:00 p.m. - 8:30 p.m.",Emergency food available.
"New Brunswick, NJ","St. Vincent De Paul Food Pantry, New Brunswick",Walter Mulyk,732-309-2142,29 Abeel Street,"Wednesday & Saturday, 10:00 a.m. - 1:00 p.m.",Emergency food distribution. Must meet TEFAP guidelines. Food may be picked up weekly. Proof of residency required for registration.
"New Brunswick, NJ",Suydam Street Reformed Church,Virginia Previte,732-249-6803,74 Drift Street,"Saturday, 9:00 a.m. - 10:30 a.m.; Sunday, 7:30 a.m. - 8:30 a.m.; Monday, 9:00 a.m. - 10:00 a.m.",Canned and packaged goods available. Bread and pastries distributed Sundays. Adults only. Once a month. Donations accepted.
"New Brunswick, NJ",Tabernacle Baptist Church (CLOSED INDEFINITELY),Lottie Harrison,732-545-6617,239 George Street,"4th Thursday, 10:00 a.m. - 12:00 p.m.",Emergency food provided to the hungry and homeless.
"New Brunswick, NJ",Unity Square Community Center,Jennifer Hinton,732-545-0329,81 Remsen Avenue,"Tuesday, 12:30 p.m. - 2:30 p.m.",Foods and necessities distributed to those in need.
"North Brunswick, NJ",North Brunswick Food Bank,Julienne Whitten,732-246-8850,1330 Livingston Avenue,"Every Wednesday, 10:00 a.m. - 11:00 a.m. (Summer hours through Labor Day)","Perishable and non-perishable food provided. Closed every 5th Wednesday & holidays. Must show up, do not call. Mission: Neighbors Helping Neighbors."
"North Brunswick, NJ",North Brunswick Food Bank,Kathleen Aruta,732-247-0922 ext. 293,710 Hermann Road,"Tuesday, 10:00 a.m. - 12:00 p.m.; Thursday, 6:00 p.m. - 8:00 p.m.",Food available for North Brunswick residents. Proof of residency required.
